artist,song_name,quarterly_date,n_streams
50 Cent,In Da Club,2009,
Eminem,Without Me,2009,
Mary J. Blige,Family Affair,2009,
Akon,Smack That,2009,
USHER,Yeah! (feat. Lil Jon & Ludacris),2009,
Eminem,Lose Yourself,2009,
Black Eyed Peas,Where Is The Love?,2009,
JAY-Z,Empire State Of Mind,2009,
50 Cent,Candy Shop,2009,
Eminem,The Real Slim Shady,2009,
Mark Ronson,Uptown Funk (feat. Bruno Mars),2010,
LMFAO,Party Rock Anthem,2010,
Ed Sheeran,Shape of You,2010,
The Chainsmokers,Closer,2010,
Maroon 5,Girls Like You,2010,
Rihanna,We Found Love,2010,
Lil Nas X,Old Town Road,2010,
Gotye,Somebody That I Used To Know,2010,
Luis Fonsi,Despacito,2010,
Adele,Rolling in the Deep,2010,
One Direction,What Makes You Beautiful,2011,
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2011,
Adele,Rolling in the Deep,2011,
Ed Sheeran,The A Team,2011,
Bruno Mars,Grenade,2011,
Miguel,Sure Thing,2011,
Katy Perry,Firework,2011,
LMFAO,Party Rock Anthem,2011,
Adele,Set Fire to the Rain,2011,
Jennifer Lopez,On The Floor,2011,
Swedish House Mafia,Save The World,2012,
Sebastian Ingrosso,Reload - Vocal Version / Radio Edit,2012,
Swedish House Mafia,Don't You Worry Child - Radio Edit,2012,
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,2012,
Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit,2012,
Martin Garrix,Animals,2012,
Avicii,Levels - Radio Edit,2012,
Calvin Harris,Under Control (feat. Hurts),2012,
Avicii,Wake Me Up - Radio Edit,2012,
Ivan Gough,In My Mind (feat. Georgi Kay) - Axwell Radio Edit,2012,
Swedish House Mafia,Save The World,2013,
Sebastian Ingrosso,Reload - Vocal Version / Radio Edit,2013,
Swedish House Mafia,Don't You Worry Child - Radio Edit,2013,
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,2013,
Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit,2013,
Martin Garrix,Animals,2013,
Avicii,Levels - Radio Edit,2013,
Calvin Harris,Under Control (feat. Hurts),2013,
Avicii,Wake Me Up - Radio Edit,2013,
Ivan Gough,In My Mind (feat. Georgi Kay) - Axwell Radio Edit,2013,
Ariana Grande,Love Me Harder,2014,
OneRepublic,Counting Stars,2014,
Ariana Grande,Break Free,2014,
Taylor Swift,Style,2014,
Ariana Grande,Problem,2014,
Pharrell Williams,"Happy - From ""Despicable Me 2""",2014,
Pitbull,Timber,2014,
Avicii,Hey Brother,2014,
Milky Chance,Stolen Dance,2014,
George Ezra,Budapest,2014,
Mark Ronson,Uptown Funk (feat. Bruno Mars),2015,
OMI,Cheerleader (Felix Jaehn Remix) - Radio Edit,2015,
Hozier,Take Me To Church,2015,
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",2015,
Wiz Khalifa,See You Again (feat. Charlie Puth),2015,
Adele,Hello,2015,
Major Lazer,Lean On (feat. MØ & DJ Snake),2015,
James Bay,Hold Back The River,2015,
Justin Bieber,What Do You Mean?,2015,
Justin Bieber,Sorry,2015,
Mariah Carey,All I Want for Christmas Is You,2016 Q4,2414608
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2016 Q4,2406621
Wham!,Last Christmas,2016 Q4,2345002
The Pogues,Fairytale of New York (feat. Kirsty MacColl),2016 Q4,1879767
The Weeknd,Starboy,2016 Q4,1797034
James Arthur,Say You Won't Let Go,2016 Q4,1707282
Shakin' Stevens,Merry Christmas Everyone - Remastered,2016 Q4,1703299
Zara Larsson,I Would Like,2016 Q4,1628520
Little Mix,Touch,2016 Q4,1595408
Steve Aoki,Just Hold On,2016 Q4,1568632
NEIKED,Sexual,2016 Q4,1567412
Rae Sremmurd,Black Beatles,2016 Q4,1493769
Maroon 5,Don't Wanna Know,2016 Q4,1486671
Andy Williams,It's the Most Wonderful Time of the Year,2016 Q4,1472947
The Chainsmokers,Closer,2016 Q4,1411852
Bruno Mars,24K Magic,2016 Q4,1391745
Band Aid,Do They Know It's Christmas? - 1984 Version,2016 Q4,1342309
Michael Bublé,It's Beginning to Look a Lot like Christmas,2016 Q4,1336880
The Weeknd,I Feel It Coming,2016 Q4,1313456
Drake,Fake Love,2016 Q4,1298141
Little Mix,Shout Out to My Ex,2016 Q4,1274129
Wizzard,I Wish It Could Be Christmas Everyday,2016 Q4,1258496
The Vamps,All Night,2016 Q4,1249782
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2016 Q4,1243523
Rag'n'Bone Man,Human,2016 Q4,1237304
Elton John,Step Into Christmas,2016 Q4,1225419
Nevada,The Mack,2016 Q4,1214257
Jonas Blue,By Your Side,2016 Q4,1196978
Paul McCartney,Wonderful Christmastime - Remastered 2011 / Edited Version,2016 Q4,1127497
Starley,Call On Me - Ryan Riback Extended Remix,2016 Q4,1115166
Slade,Merry Xmas Everybody,2016 Q4,1112023
Drake,One Dance,2016 Q4,1087214
Bing Crosby,White Christmas,2016 Q4,1077674
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,2016 Q4,1066321
Sia,The Greatest,2016 Q4,1065247
John Lennon,Happy Xmas (War Is Over) - Remastered 2010,2016 Q4,1039049
Major Lazer,Cold Water (feat. Justin Bieber & MØ),2016 Q4,1035005
Boney M.,Mary's Boy Child / Oh My Lord,2016 Q4,1033984
Hailee Steinfeld,Starving,2016 Q4,991885
Matt Terry,When Christmas Comes Around,2016 Q4,975274
Shawn Mendes,Mercy,2016 Q4,958439
DJ Snake,Let Me Love You,2016 Q4,951780
Bobby Helms,Jingle Bell Rock,2016 Q4,951774
Eartha Kitt,Santa Baby (with Henri René & His Orchestra),2016 Q4,939901
Ariana Grande,Side To Side,2016 Q4,936287
Tom Zanetti,You Want Me (feat. Sadie Ama),2016 Q4,923987
Phil Spector,Sleigh Ride,2016 Q4,915232
Mud,Lonely This Christmas,2016 Q4,857022
John Legend,Love Me Now,2016 Q4,849027
Adele,Water Under the Bridge,2016 Q4,845748
Jona Lewie,Stop the Cavalry,2016 Q4,830002
Galantis,Love on Me,2016 Q4,827233
Louisa,So Good,2016 Q4,806657
Darlene Love,Christmas (Baby Please Come Home),2016 Q4,803015
José Feliciano,Feliz Navidad,2016 Q4,770508
Sage The Gemini,Now and Later,2016 Q4,766640
Pretenders,2000 Miles - 2007 Remaster,2016 Q4,753723
Elvis Presley,Blue Christmas,2016 Q4,724943
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),2016 Q4,717612
Calvin Harris,My Way,2016 Q4,713158
Greg Lake,I Believe in Father Christmas,2016 Q4,706876
Nat King Cole,The Christmas Song (Merry Christmas To You),2016 Q4,691943
Charli XCX,After the Afterparty (feat. Lil Yachty),2016 Q4,682186
Kylie Minogue,Santa Baby,2016 Q4,664743
Martin Garrix,In the Name of Love,2016 Q4,651837
The Chainsmokers,All We Know,2016 Q4,630068
Coldplay,Christmas Lights - Live from Spotify London,2016 Q4,629000
Mykola Dmytrovych Leontovych,Carol of the Bells,2016 Q4,610656
Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",2016 Q4,608446
Shawn Mendes,Treat You Better,2016 Q4,606118
East 17,Stay Another Day,2016 Q4,605912
Kelly Clarkson,Underneath the Tree,2016 Q4,603096
JP Cooper,September Song,2016 Q4,596816
J. Cole,Deja Vu,2016 Q4,596580
The Chainsmokers,Don't Let Me Down (feat. Daya),2016 Q4,596545
Twenty One Pilots,Heathens,2016 Q4,576324
George Michael,Faith - Remastered,2016 Q4,574295
Drake,Too Good,2016 Q4,560976
Drake,Controlla,2016 Q4,559332
Robin Schulz,Shed a Light,2016 Q4,558060
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",2016 Q4,554894
Machine Gun Kelly,Bad Things (with Camila Cabello),2016 Q4,553369
The Weeknd,Party Monster,2016 Q4,548402
Sam Smith,Have Yourself A Merry Little Christmas,2016 Q4,539897
Ariana Grande,Santa Tell Me,2016 Q4,533469
MiC LOWRY,Oh Lord,2016 Q4,524141
Mura Masa,Love$ick (feat. A$AP Rocky),2016 Q4,516578
Michael Bublé,Holly Jolly Christmas,2016 Q4,516541
Justin Bieber,Mistletoe,2016 Q4,510739
Sean Paul,No Lie,2016 Q4,510061
Michael Bublé,All I Want for Christmas Is You,2016 Q4,508192
Mel Tormé,The Christmas Song (Chestnuts Roasting On an Open Fire),2016 Q4,500724
Michael Bublé,White Christmas (with Shania Twain),2016 Q4,496587
George Michael,Careless Whisper,2016 Q4,493960
Gladys Knight & The Pips,When a Child Is Born (Soleado) (feat. Johnny Mathis),2016 Q4,481892
Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),2016 Q4,475570
Destiny's Child,8 Days of Christmas,2016 Q4,474461
The Beach Boys,Little Saint Nick - 1991 Remix,2016 Q4,472598
Michael Bublé,Cold December Night,2016 Q4,471232
Jax Jones,You Don't Know Me - Radio Edit,2016 Q4,468210
Michael Bublé,Santa Claus Is Coming to Town,2016 Q4,467983
Chuck Berry,Run Rudolph Run - Single Version,2016 Q4,461966
Idina Menzel,Baby It's Cold Outside (duet with Michael Bublé),2016 Q4,460403
Calum Scott,Dancing On My Own,2016 Q4,446249
The Ronettes,Frosty the Snowman,2016 Q4,443755
Justin Bieber,Sorry,2016 Q4,443194
Lily Allen,Somewhere Only We Know,2016 Q4,436884
The Killers,Mr. Brightside,2016 Q4,436311
Mike Oldfield,In Dulce Jubilo,2016 Q4,430541
Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),2016 Q4,428427
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,2016 Q4,426053
Michael Bublé,Jingle Bells (feat. The Puppini Sisters),2016 Q4,421787
Little Mix,Oops,2016 Q4,417636
Justin Bieber,Love Yourself,2016 Q4,415183
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,2016 Q4,414825
Calvin Harris,This Is What You Came For (feat. Rihanna),2016 Q4,413843
Coldplay,Christmas Lights,2016 Q4,404005
Michael Bublé,Christmas (Baby Please Come Home),2016 Q4,402600
Aled Jones,Walking in the Air,2016 Q4,394666
Sigma,Find Me,2016 Q4,394410
Dua Lipa,Blow Your Mind (Mwah),2016 Q4,393297
Jonas Blue,Perfect Strangers,2016 Q4,392878
Alessia Cara,"How Far I'll Go - From ""Moana""",2016 Q4,391955
Cliff Richard,Mistletoe and Wine,2016 Q4,389068
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2016 Q4,384860
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2016 Q4,379377
Christina Aguilera,Have Yourself a Merry Little Christmas,2016 Q4,378460
Lukas Graham,7 Years,2016 Q4,378045
Leona Lewis,One More Sleep,2016 Q4,374932
The Jackson 5,Santa Claus Is Coming To Town,2016 Q4,374638
Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered,2016 Q4,373022
Coldplay,Everglow,2016 Q4,372437
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),2016 Q4,369370
Céline Dion,Happy Xmas (War Is Over),2016 Q4,368500
The Weeknd,Rockin’,2016 Q4,367593
Michael Bublé,Have Yourself a Merry Little Christmas,2016 Q4,364157
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,2016 Q4,363539
Childish Gambino,Redbone,2016 Q4,363068
George Michael,Freedom! '90,2016 Q4,362459
Ella Fitzgerald,Baby It's Cold Outside,2016 Q4,361910
Migos,Bad and Boujee (feat. Lil Uzi Vert),2016 Q4,359750
Alessia Cara,Scars To Your Beautiful,2016 Q4,358311
Naughty Boy,Should've Been Me,2016 Q4,356626
Giggs,Lock Doh,2016 Q4,355519
Wham!,Wake Me Up Before You Go-Go,2016 Q4,355225
Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),2016 Q4,354500
Zara Larsson,Ain't My Fault,2016 Q4,353076
Sia,Cheap Thrills,2016 Q4,350864
Chris de Burgh,A Spaceman Came Travelling,2016 Q4,347705
Noah Cyrus,Make Me (Cry),2016 Q4,347396
James Hersey,Miss You,2016 Q4,346639
Phil Spector,Here Comes Santa Claus,2016 Q4,345184
Michael Jackson,Rockin' Robin,2016 Q4,340022
Ariana Grande,Into You,2016 Q4,339475
Twenty One Pilots,Stressed Out,2016 Q4,339049
Shawn Mendes,Stitches,2016 Q4,333268
Tony Bennett,Winter Wonderland,2016 Q4,332966
Rihanna,Work,2016 Q4,332800
The Waitresses,Christmas Wrapping,2016 Q4,331449
Michael Bublé,Santa Baby,2016 Q4,331395
gnash,"i hate u, i love u (feat. olivia o'brien)",2016 Q4,329348
Shelley FKA DRAM,Broccoli (feat. Lil Yachty),2016 Q4,329253
Fifth Harmony,That's My Girl,2016 Q4,329236
Nat King Cole,Deck The Halls,2016 Q4,326279
Anne-Marie,Alarm,2016 Q4,325173
DNCE,Cake By The Ocean,2016 Q4,325055
Zay Hilfigerrr,Juju on That Beat (TZ Anthem),2016 Q4,323479
Britney Spears,My Only Wish (This Year),2016 Q4,321640
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),2016 Q4,320920
Zara Larsson,Lush Life,2016 Q4,320375
Adele,Hello,2016 Q4,317691
John Gibbons,Would I Lie to You,2016 Q4,315339
The Weeknd,Sidewalks,2016 Q4,315291
Glee Cast,"Baby, It's Cold Outside (feat. Darren Criss)",2016 Q4,314895
Dido,Christmas Day,2016 Q4,310194
Stevie Wonder,What Christmas Means To Me,2016 Q4,310126
Desiigner,Panda,2016 Q4,308421
Rihanna,Needed Me,2016 Q4,307179
Justin Bieber,What Do You Mean?,2016 Q4,305576
The Jackson 5,I Saw Mommy Kissing Santa Claus,2016 Q4,300627
Coldplay,Adventure of a Lifetime,2016 Q4,299093
Adele,Send My Love (To Your New Lover),2016 Q4,297447
Luther Vandross,Please Come Home for Christmas,2016 Q4,296336
Run–D.M.C.,Christmas In Hollis,2016 Q4,295431
Tinie Tempah,Girls Like (feat. Zara Larsson),2016 Q4,291926
Twenty One Pilots,Ride,2016 Q4,291336
The Darkness,Christmas Time (Don't Let the Bells End),2016 Q4,289026
The Weeknd,Six Feet Under,2016 Q4,286711
Jonas Blue,Fast Car,2016 Q4,285229
Sia,Cheap Thrills (feat. Sean Paul),2016 Q4,283594
Michael Bublé,Silent Night,2016 Q4,282167
John Denver,Rudolph the Red Nosed Reindeer,2016 Q4,281777
R. Kelly,Ignition - Remix,2016 Q4,278542
M.O,Not In Love,2016 Q4,276806
Wham!,Club Tropicana,2016 Q4,275478
Andy Grammer,Fresh Eyes,2016 Q4,274156
Donny Hathaway,This Christmas,2016 Q4,273623
Lou Monte,Dominick the Donkey - The Italian Christmas Donkey,2016 Q4,272603
Alan Walker,Faded,2016 Q4,271743
The Weeknd,Reminder,2016 Q4,271226
Ed Sheeran,Shape of You,2017 Q1,71700574
Ed Sheeran,Castle on the Hill,2017 Q1,51131302
Jax Jones,You Don't Know Me - Radio Edit,2017 Q1,30158733
Little Mix,Touch,2017 Q1,25755813
The Chainsmokers,Paris,2017 Q1,25264318
Ed Sheeran,Galway Girl,2017 Q1,23981573
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2017 Q1,23891074
Rag'n'Bone Man,Human,2017 Q1,22843692
Starley,Call On Me - Ryan Riback Extended Remix,2017 Q1,22477008
