artist,song_name
50 Cent,In Da Club
Eminem,Without Me
Mary J. Blige,Family Affair
Akon,Smack That
USHER,Yeah! (feat. Lil Jon & Ludacris)
Eminem,Lose Yourself
Black Eyed Peas,Where Is The Love?
JAY-Z,Empire State Of Mind
50 Cent,Candy Shop
Eminem,The Real Slim Shady
Mark Ronson,Uptown Funk (feat. Bruno Mars)
LMFAO,Party Rock Anthem
Ed Sheeran,Shape of You
The Chainsmokers,Closer
Maroon 5,Girls Like You
Rihanna,We Found Love
Lil Nas X,Old Town Road
Gotye,Somebody That I Used To Know
Luis Fonsi,Despacito
Adele,Rolling in the Deep
One Direction,What Makes You Beautiful
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance"
Ed Sheeran,The A Team
Bruno Mars,Grenade
Miguel,Sure Thing
Katy Perry,Firework
Adele,Set Fire to the Rain
Jennifer Lopez,On The Floor
Swedish House Mafia,Save The World
Sebastian Ingrosso,Reload - Vocal Version / Radio Edit
Swedish House Mafia,Don't You Worry Child - Radio Edit
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit
Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit
Martin Garrix,Animals
Avicii,Levels - Radio Edit
Calvin Harris,Under Control (feat. Hurts)
Avicii,Wake Me Up - Radio Edit
Ivan Gough,In My Mind (feat. Georgi Kay) - Axwell Radio Edit
Ariana Grande,Love Me Harder
OneRepublic,Counting Stars
Ariana Grande,Break Free
Taylor Swift,Style
Ariana Grande,Problem
Pharrell Williams,"Happy - From ""Despicable Me 2"""
Pitbull,Timber
Avicii,Hey Brother
Milky Chance,Stolen Dance
George Ezra,Budapest
OMI,Cheerleader (Felix Jaehn Remix) - Radio Edit
Hozier,Take Me To Church
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey"""
Wiz Khalifa,See You Again (feat. Charlie Puth)
Adele,Hello
Major Lazer,Lean On (feat. MØ & DJ Snake)
James Bay,Hold Back The River
Justin Bieber,What Do You Mean?
Justin Bieber,Sorry
Mariah Carey,All I Want for Christmas Is You
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie)
Wham!,Last Christmas
The Pogues,Fairytale of New York (feat. Kirsty MacColl)
The Weeknd,Starboy
James Arthur,Say You Won't Let Go
Shakin' Stevens,Merry Christmas Everyone - Remastered
Zara Larsson,I Would Like
Little Mix,Touch
Steve Aoki,Just Hold On
NEIKED,Sexual
Rae Sremmurd,Black Beatles
Maroon 5,Don't Wanna Know
Andy Williams,It's the Most Wonderful Time of the Year
Bruno Mars,24K Magic
Band Aid,Do They Know It's Christmas? - 1984 Version
Michael Bublé,It's Beginning to Look a Lot like Christmas
The Weeknd,I Feel It Coming
Drake,Fake Love
Little Mix,Shout Out to My Ex
Wizzard,I Wish It Could Be Christmas Everyday
The Vamps,All Night
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Rag'n'Bone Man,Human
Elton John,Step Into Christmas
Nevada,The Mack
Jonas Blue,By Your Side
Paul McCartney,Wonderful Christmastime - Remastered 2011 / Edited Version
Starley,Call On Me - Ryan Riback Extended Remix
Slade,Merry Xmas Everybody
Drake,One Dance
Bing Crosby,White Christmas
Brenda Lee,Rockin' Around The Christmas Tree - Single Version
Sia,The Greatest
John Lennon,Happy Xmas (War Is Over) - Remastered 2010
Major Lazer,Cold Water (feat. Justin Bieber & MØ)
Boney M.,Mary's Boy Child / Oh My Lord
Hailee Steinfeld,Starving
Matt Terry,When Christmas Comes Around
Shawn Mendes,Mercy
DJ Snake,Let Me Love You
Bobby Helms,Jingle Bell Rock
Eartha Kitt,Santa Baby (with Henri René & His Orchestra)
Ariana Grande,Side To Side
Tom Zanetti,You Want Me (feat. Sadie Ama)
Phil Spector,Sleigh Ride
Mud,Lonely This Christmas
John Legend,Love Me Now
Adele,Water Under the Bridge
Jona Lewie,Stop the Cavalry
Galantis,Love on Me
Louisa,So Good
Darlene Love,Christmas (Baby Please Come Home)
José Feliciano,Feliz Navidad
Sage The Gemini,Now and Later
Pretenders,2000 Miles - 2007 Remaster
Elvis Presley,Blue Christmas
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)
Calvin Harris,My Way
Greg Lake,I Believe in Father Christmas
Nat King Cole,The Christmas Song (Merry Christmas To You)
Charli XCX,After the Afterparty (feat. Lil Yachty)
Kylie Minogue,Santa Baby
Martin Garrix,In the Name of Love
The Chainsmokers,All We Know
Coldplay,Christmas Lights - Live from Spotify London
Mykola Dmytrovych Leontovych,Carol of the Bells
Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975"
Shawn Mendes,Treat You Better
East 17,Stay Another Day
Kelly Clarkson,Underneath the Tree
JP Cooper,September Song
J. Cole,Deja Vu
The Chainsmokers,Don't Let Me Down (feat. Daya)
Twenty One Pilots,Heathens
George Michael,Faith - Remastered
Drake,Too Good
Drake,Controlla
Robin Schulz,Shed a Light
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
Machine Gun Kelly,Bad Things (with Camila Cabello)
The Weeknd,Party Monster
Sam Smith,Have Yourself A Merry Little Christmas
Ariana Grande,Santa Tell Me
MiC LOWRY,Oh Lord
Mura Masa,Love$ick (feat. A$AP Rocky)
Michael Bublé,Holly Jolly Christmas
Justin Bieber,Mistletoe
Sean Paul,No Lie
Michael Bublé,All I Want for Christmas Is You
Mel Tormé,The Christmas Song (Chestnuts Roasting On an Open Fire)
Michael Bublé,White Christmas (with Shania Twain)
George Michael,Careless Whisper
Gladys Knight & The Pips,When a Child Is Born (Soleado) (feat. Johnny Mathis)
Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)
Destiny's Child,8 Days of Christmas
The Beach Boys,Little Saint Nick - 1991 Remix
Michael Bublé,Cold December Night
Jax Jones,You Don't Know Me - Radio Edit
Michael Bublé,Santa Claus Is Coming to Town
