year_quarter,genre,Genre_Group,streams,gdp_(£m),inflation_(%),hfce_(£m),unemployment_rate_(%),max_streams_per_genre,is_max_streams,max_stream_genre
2016 Q4,Alternative Rock,Alternative,1505802,589476,1.5,369850,4.7,1505802,true,Christmas
2016 Q4,Baroque Pop,Pop,472598,589476,1.5,369850,4.7,472598,true,Christmas
2016 Q4,Celtic Rock,Rock/Punk/Metal,1879767,589476,1.5,369850,4.7,1879767,true,Christmas
2016 Q4,Christmas,Christmas,17142568,589476,1.5,369850,4.7,17142568,true,Christmas
2016 Q4,Classic Rock,Rock/Punk/Metal,753723,589476,1.5,369850,4.7,753723,true,Christmas
2016 Q4,Cover,Cover,315339,589476,1.5,369850,4.7,315339,true,Christmas
2016 Q4,Dance,Dance/House,367593,589476,1.5,369850,4.7,367593,true,Christmas
2016 Q4,Dance Pop,Dance/House,664743,589476,1.5,369850,4.7,664743,true,Christmas
2016 Q4,Dance-Pop,Dance/House,468210,589476,1.5,369850,4.7,468210,true,Christmas
2016 Q4,Disco,Disco,1033984,589476,1.5,369850,4.7,1033984,true,Christmas
2016 Q4,Drum And Bass,Electronic,394410,589476,1.5,369850,4.7,394410,true,Christmas
2016 Q4,East Coast Hip Hop,Rap/Hip-Hop,572237,589476,1.5,369850,4.7,572237,true,Christmas
2016 Q4,Electro House,Dance/House,1568632,589476,1.5,369850,4.7,1568632,true,Christmas
2016 Q4,Electronic,Electronic,4028486,589476,1.5,369850,4.7,4028486,true,Christmas
2016 Q4,Electropop,Electronic,827233,589476,1.5,369850,4.7,827233,true,Christmas
2016 Q4,Folk,Folk,281777,589476,1.5,369850,4.7,281777,true,Christmas
2016 Q4,Funk,Funk,378045,589476,1.5,369850,4.7,378045,true,Christmas
2016 Q4,Grime,Electronic,647445,589476,1.5,369850,4.7,647445,true,Christmas
2016 Q4,Hard Rock,Rock/Punk/Metal,1112023,589476,1.5,369850,4.7,1112023,true,Christmas
2016 Q4,Hip-Hop,Rap/Hip-Hop,3853563,589476,1.5,369850,4.7,3853563,true,Christmas
2016 Q4,House,Dance/House,5139952,589476,1.5,369850,4.7,5139952,true,Christmas
2016 Q4,Hyperpop,Pop,682186,589476,1.5,369850,4.7,682186,true,Christmas
2016 Q4,Hyphy,Rap/Hip-Hop,766640,589476,1.5,369850,4.7,766640,true,Christmas
2016 Q4,Indie,Indie,2025699,589476,1.5,369850,4.7,2025699,true,Christmas
2016 Q4,Jazz,Jazz,1024909,589476,1.5,369850,4.7,1024909,true,Christmas
2016 Q4,Lil Yachty,Rap/Hip-Hop,329253,589476,1.5,369850,4.7,329253,true,Christmas
2016 Q4,Moombahton,Electronic,1398544,589476,1.5,369850,4.7,1398544,true,Christmas
2016 Q4,Motown,Soul,1166656,589476,1.5,369850,4.7,1166656,true,Christmas
2016 Q4,Musicals,Musicals,460403,589476,1.5,369850,4.7,460403,true,Christmas
2016 Q4,Nu Metal,Rock/Punk/Metal,857022,589476,1.5,369850,4.7,857022,true,Christmas
2016 Q4,Pop,Pop,2222998,589476,1.5,369850,4.7,2222998,true,Christmas
2016 Q4,Pop-Rock,Pop,1486671,589476,1.5,369850,4.7,1486671,true,Christmas
2016 Q4,Progressive Rock,Rock/Punk/Metal,430541,589476,1.5,369850,4.7,430541,true,Christmas
2016 Q4,Psychedelic Soul,Soul,363068,589476,1.5,369850,4.7,363068,true,Christmas
2016 Q4,Reggae,Reggae,510061,589476,1.5,369850,4.7,510061,true,Christmas
2016 Q4,Rock,Rock/Punk/Metal,1921879,589476,1.5,369850,4.7,1921879,true,Christmas
2016 Q4,Rock & Roll,Rock & Roll,724943,589476,1.5,369850,4.7,724943,true,Christmas
2016 Q4,Rockabilly,Rock & Roll,461966,589476,1.5,369850,4.7,461966,true,Christmas
2016 Q4,Soft Pop,Pop,1612917,589476,1.5,369850,4.7,1612917,true,Christmas
2016 Q4,Soft Rock,Rock/Punk/Metal,762530,589476,1.5,369850,4.7,762530,true,Christmas
2016 Q4,Soul,Soul,1729285,589476,1.5,369850,4.7,1729285,true,Christmas
2016 Q4,Soundtrack,Soundtrack,391955,589476,1.5,369850,4.7,391955,true,Christmas
2016 Q4,Swing,Swing,6154094,589476,1.5,369850,4.7,6154094,true,Christmas
2016 Q4,Trap,Rap/Hip-Hop,359750,589476,1.5,369850,4.7,359750,true,Christmas
2016 Q4,Tropical House,Dance/House,2044408,589476,1.5,369850,4.7,2044408,true,Christmas
2016 Q4,Unnecessary Collaboration,Other,283594,589476,1.5,369850,4.7,283594,true,Christmas
2016 Q4,Vocal Jazz,Jazz,862634,589476,1.5,369850,4.7,862634,true,Christmas
2017 Q1,Afroswing,Afrobeats,2942430,594423,2.2,372376,4.6,2942430,true,Soft Pop
2017 Q1,Alternative Rock,Alternative,33650848,594423,2.2,372376,4.6,33650848,true,Soft Pop
2017 Q1,Ambient Pop,Pop,1124225,594423,2.2,372376,4.6,1124225,true,Soft Pop
2017 Q1,Art Pop,Pop,282133,594423,2.2,372376,4.6,282133,true,Soft Pop
2017 Q1,Baroque Pop,Pop,1587394,594423,2.2,372376,4.6,1587394,true,Soft Pop
2017 Q1,Brazilian Bass,Electronic,1812646,594423,2.2,372376,4.6,1812646,true,Soft Pop
2017 Q1,British,Other,3520776,594423,2.2,372376,4.6,3520776,true,Soft Pop
2017 Q1,Britpop,Pop,3726180,594423,2.2,372376,4.6,3726180,true,Soft Pop
2017 Q1,Chill,Chill,1614321,594423,2.2,372376,4.6,1614321,true,Soft Pop
2017 Q1,Cover,Cover,2510028,594423,2.2,372376,4.6,2510028,true,Soft Pop
2017 Q1,Dance,Dance/House,22947420,594423,2.2,372376,4.6,22947420,true,Soft Pop
