,Song ID,Spotify URI,Song Title,Performer,Region,Quarter,Quarterly Streams,Best Quarterly Position,Peak Position,Worst Position,Time On Chart,Consecutive Weeks,Instance,Previous Week,Chart URL
407,All I Want for Christmas Is YouMariah Carey,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,gb,2016 Q4,2414608,1,1,1,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
6697,Rockabye (feat. Sean Paul & Anne-Marie)Clean Bandit,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,gb,2016 Q4,2406621,2,2,2,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
4351,Last ChristmasWham!,2FRnf9qhLbvw8fu4IBXx78,Last Christmas,Wham!,gb,2016 Q4,2345002,3,3,3,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
2493,Fairytale of New York (feat. Kirsty MacColl)The Pogues,3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),The Pogues,gb,2016 Q4,1879767,4,4,4,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
7602,StarboyThe Weeknd,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,gb,2016 Q4,1797034,5,5,5,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
7013,Say You Won't Let GoJames Arthur,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,gb,2016 Q4,1707282,6,6,6,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
5097,Merry Christmas Everyone - RemasteredShakin' Stevens,2ISl1zekPsc26sUQpVt8UB,Merry Christmas Everyone - Remastered,Shakin' Stevens,gb,2016 Q4,1703299,7,7,7,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
3822,I Would LikeZara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,Zara Larsson,gb,2016 Q4,1628520,8,8,8,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
8472,TouchLittle Mix,5Ua3GXyHwiSfpNTMjq6m2z,Touch,Little Mix,gb,2016 Q4,1595408,9,9,9,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
4212,Just Hold OnSteve Aoki,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,Steve Aoki,gb,2016 Q4,1568632,10,10,10,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
