,Year Quarter,Gross Domestic Product (£m),Unemployment Rate (%),CPIH (%),Household Final Consumption Expenditure (£m)
0,2009 Q1,509646.0,7.1,2.9,312387.0
1,2009 Q2,508009.0,7.8,2.0,311964.0
2,2009 Q3,508398.0,7.8,1.4,313410.0
3,2009 Q4,509889.0,7.8,1.6,315889.0
4,2010 Q1,514595.0,8.0,2.4,314367.0
5,2010 Q2,520128.0,7.9,2.5,322185.0
6,2010 Q3,523173.0,7.8,2.3,322411.0
7,2010 Q4,523515.0,7.9,2.7,321985.0
8,2011 Q1,524955.0,7.8,3.5,319260.0
9,2011 Q2,525418.0,7.9,3.8,317978.0
10,2011 Q3,527034.0,8.3,4.0,319113.0
11,2011 Q4,527698.0,8.4,4.0,319878.0
12,2012 Q1,532300.0,8.2,3.1,319950.0
13,2012 Q2,531663.0,8.0,2.5,322313.0
14,2012 Q3,536720.0,7.8,2.2,325890.0
15,2012 Q4,536188.0,7.8,2.4,330687.0
16,2013 Q1,537974.0,7.8,2.5,328935.0
17,2013 Q2,541586.0,7.7,2.4,332257.0
18,2013 Q3,546064.0,7.6,2.4,336411.0
19,2013 Q4,549709.0,7.2,1.9,337974.0
20,2014 Q1,554183.0,6.7,1.6,339058.0
21,2014 Q2,559331.0,6.3,1.6,341118.0
22,2014 Q3,563694.0,6.0,1.5,346725.0
23,2014 Q4,567619.0,5.7,1.1,348925.0
24,2015 Q1,569150.0,5.5,0.4,350714.0
25,2015 Q2,572673.0,5.6,0.3,352232.0
26,2015 Q3,574836.0,5.3,0.4,356765.0
27,2015 Q4,578068.0,5.1,0.4,355848.0
28,2016 Q1,580110.0,5.1,0.7,363522.0
29,2016 Q2,583383.0,4.9,0.7,366683.0
30,2016 Q3,585856.0,4.8,1.0,369891.0
31,2016 Q4,589476.0,4.7,1.5,369850.0
32,2017 Q1,594423.0,4.6,2.2,372376.0
33,2017 Q2,598176.0,4.4,2.6,372182.0
34,2017 Q3,601961.0,4.3,2.7,374572.0
35,2017 Q4,606396.0,4.4,2.8,376343.0
36,2018 Q1,606785.0,4.2,2.5,378556.0
37,2018 Q2,607775.0,4.0,2.2,377543.0
38,2018 Q3,609653.0,4.1,2.3,380204.0
39,2018 Q4,610481.0,4.0,2.1,384035.0
40,2019 Q1,614936.0,3.8,1.8,383607.0
41,2019 Q2,616853.0,3.9,2.0,385054.0
42,2019 Q3,621227.0,3.9,1.8,384635.0
43,2019 Q4,621229.0,3.7,1.4,383778.0
44,2020 Q1,604719.0,4.1,1.7,372624.0
45,2020 Q2,481769.0,4.1,0.8,286546.0
46,2020 Q3,562648.0,5.0,0.8,342361.0
47,2020 Q4,570338.0,5.3,0.8,335721.0
48,2021 Q1,564411.0,4.9,0.9,324105.0
49,2021 Q2,605353.0,4.7,2.1,361389.0
50,2021 Q3,615459.0,4.4,2.7,372109.0
51,2021 Q4,624592.0,4.2,4.4,373148.0
52,2022 Q1,629149.0,3.8,5.5,377996.0
53,2022 Q2,631258.0,3.8,7.9,384420.0
54,2022 Q3,631977.0,3.7,8.7,385045.0
55,2022 Q4,634044.0,3.9,9.4,387283.0
56,2023 Q1,634428.0,4.0,9.0,385485.0
57,2023 Q2,634694.0,4.2,7.7,387744.0
58,2023 Q3,634327.0,4.1,6.3,384357.0
59,2023 Q4,633011.0,3.9,4.4,383923.0
60,2024 Q1,638746.0,4.3,3.9,386899.0
61,2024 Q2,641670.0,4.2,2.9,387064.0
62,2024 Q3,641675.0,4.3,2.9,389410.0
63,2024 Q4,642287.0,4.4,3.4,389296.0
