year_quarter,Genre_Group,streams,gdp_(£m),inflation_(%),hfce_(£m),unemployment_rate_(%)
2016 Q4,Alternative,1505802,589476,1.5,369850,4.7
2016 Q4,Christmas,17142568,589476,1.5,369850,4.7
2016 Q4,Cover,315339,589476,1.5,369850,4.7
2016 Q4,Dance/House,10253538,589476,1.5,369850,4.7
2016 Q4,Disco,1033984,589476,1.5,369850,4.7
2016 Q4,Electronic,7296118,589476,1.5,369850,4.7
2016 Q4,Folk,281777,589476,1.5,369850,4.7
2016 Q4,Funk,378045,589476,1.5,369850,4.7
2016 Q4,Indie,2025699,589476,1.5,369850,4.7
2016 Q4,Jazz,1887543,589476,1.5,369850,4.7
2016 Q4,Musicals,460403,589476,1.5,369850,4.7
2016 Q4,Other,283594,589476,1.5,369850,4.7
2016 Q4,Pop,6477370,589476,1.5,369850,4.7
2016 Q4,Rap/Hip-Hop,5881443,589476,1.5,369850,4.7
2016 Q4,Reggae,510061,589476,1.5,369850,4.7
2016 Q4,Rock & Roll,1186909,589476,1.5,369850,4.7
2016 Q4,Rock/Punk/Metal,7717485,589476,1.5,369850,4.7
2016 Q4,Soul,3259009,589476,1.5,369850,4.7
2016 Q4,Soundtrack,391955,589476,1.5,369850,4.7
2016 Q4,Swing,6154094,589476,1.5,369850,4.7
2017 Q1,Afrobeats,2942430,594423,2.2,372376,4.6
2017 Q1,Alternative,33650848,594423,2.2,372376,4.6
2017 Q1,Chill,1614321,594423,2.2,372376,4.6
2017 Q1,Cover,2510028,594423,2.2,372376,4.6
2017 Q1,Dance/House,212367484,594423,2.2,372376,4.6
2017 Q1,Disco,760191,594423,2.2,372376,4.6
2017 Q1,Electronic,214017484,594423,2.2,372376,4.6
2017 Q1,Folk,3301245,594423,2.2,372376,4.6
2017 Q1,Funk,4367579,594423,2.2,372376,4.6
2017 Q1,Indie,51675760,594423,2.2,372376,4.6
2017 Q1,Latin,5548860,594423,2.2,372376,4.6
2017 Q1,Musicals,3196573,594423,2.2,372376,4.6
2017 Q1,Other,10128714,594423,2.2,372376,4.6
2017 Q1,Pop,242735656,594423,2.2,372376,4.6
2017 Q1,Rap/Hip-Hop,113882823,594423,2.2,372376,4.6
2017 Q1,Reggae,15176061,594423,2.2,372376,4.6
2017 Q1,Rock/Punk/Metal,9294365,594423,2.2,372376,4.6
2017 Q1,Soul,15472050,594423,2.2,372376,4.6
2017 Q1,Soundtrack,11993447,594423,2.2,372376,4.6
2017 Q2,Afrobeats,12944533,598176,2.6,372182,4.4
2017 Q2,Alternative,25303502,598176,2.6,372182,4.4
2017 Q2,Chill,1447924,598176,2.6,372182,4.4
2017 Q2,Country,11914696,598176,2.6,372182,4.4
2017 Q2,Dance/House,231022221,598176,2.6,372182,4.4
2017 Q2,Disco,2644268,598176,2.6,372182,4.4
2017 Q2,Electronic,173645363,598176,2.6,372182,4.4
2017 Q2,Folk,1655029,598176,2.6,372182,4.4
2017 Q2,Funk,863300,598176,2.6,372182,4.4
2017 Q2,Indie,56449681,598176,2.6,372182,4.4
2017 Q2,Latin,52321351,598176,2.6,372182,4.4
2017 Q2,Other,19044894,598176,2.6,372182,4.4
2017 Q2,Pop,206222023,598176,2.6,372182,4.4
2017 Q2,Rap/Hip-Hop,220710247,598176,2.6,372182,4.4
2017 Q2,Reggae,7283121,598176,2.6,372182,4.4
