year_quarter,genre,Genre_Group,streams,gdp_(£m),inflation_(%),hfce_(£m),unemployment_rate_(%)
2016 Q4,R&B,R&B,2414608.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,2406621.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,2345002.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,1879767.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,1797034.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,1707282.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,1703299.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,1628520.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,1595408.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,1568632.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,1567412.0,589476.0,1.5,369850.0,4.7
2016 Q4,Hip-Hop,Rap/Hip-Hop,1493769.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,1486671.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,1472947.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,1411852.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,1391745.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,1342309.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,1336880.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,1313456.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rap,Rap/Hip-Hop,1298141.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,1274129.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,1258496.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,1249782.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,1243523.0,589476.0,1.5,369850.0,4.7
2016 Q4,Hip-Hop,Rap/Hip-Hop,1237304.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,1225419.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,1214257.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,1196978.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,1127497.0,589476.0,1.5,369850.0,4.7
2016 Q4,Electronic,Electronic,1115166.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,1112023.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rap,Rap/Hip-Hop,1087214.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,1077674.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,1066321.0,589476.0,1.5,369850.0,4.7
2016 Q4,Indie,Indie,1065247.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,1039049.0,589476.0,1.5,369850.0,4.7
2016 Q4,Edm,Electronic,1035005.0,589476.0,1.5,369850.0,4.7
2016 Q4,Disco,Disco,1033984.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,991885.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,975274.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,958439.0,589476.0,1.5,369850.0,4.7
2016 Q4,Electronic,Electronic,951780.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,951774.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,939901.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,936287.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,923987.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,915232.0,589476.0,1.5,369850.0,4.7
2016 Q4,Metal,Rock/Punk/Metal,857022.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,849027.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soft Pop,Pop,845748.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,830002.0,589476.0,1.5,369850.0,4.7
2016 Q4,Electronic,Electronic,827233.0,589476.0,1.5,369850.0,4.7
2016 Q4,Unknown,Unknown,806657.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,803015.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,770508.0,589476.0,1.5,369850.0,4.7
2016 Q4,Hip-Hop,Rap/Hip-Hop,766640.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,753723.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,724943.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,717612.0,589476.0,1.5,369850.0,4.7
2016 Q4,Electronic,Electronic,713158.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,706876.0,589476.0,1.5,369850.0,4.7
2016 Q4,Jazz,Jazz,691943.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,682186.0,589476.0,1.5,369850.0,4.7
2016 Q4,Dance,Dance/House,664743.0,589476.0,1.5,369850.0,4.7
2016 Q4,Electronic,Electronic,651837.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,630068.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,629000.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,610656.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,608446.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,606118.0,589476.0,1.5,369850.0,4.7
2016 Q4,Hip-Hop,Rap/Hip-Hop,605912.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,603096.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,596816.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rap,Rap/Hip-Hop,596580.0,589476.0,1.5,369850.0,4.7
2016 Q4,Electronic,Electronic,596545.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,576324.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,574295.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rap,Rap/Hip-Hop,560976.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rap,Rap/Hip-Hop,559332.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,558060.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,554894.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,553369.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,548402.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,539897.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,533469.0,589476.0,1.5,369850.0,4.7
2016 Q4,Indie,Indie,524141.0,589476.0,1.5,369850.0,4.7
2016 Q4,Hip-Hop,Rap/Hip-Hop,516578.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,516541.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,510739.0,589476.0,1.5,369850.0,4.7
2016 Q4,Reggae,Reggae,510061.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,508192.0,589476.0,1.5,369850.0,4.7
2016 Q4,Jazz,Jazz,500724.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,496587.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,493960.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,481892.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,475570.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,474461.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,472598.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,471232.0,589476.0,1.5,369850.0,4.7
2016 Q4,Dance,Dance/House,468210.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,467983.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,461966.0,589476.0,1.5,369850.0,4.7
2016 Q4,Musicals,Musicals,460403.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soft Pop,Pop,446249.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,443755.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,443194.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,436884.0,589476.0,1.5,369850.0,4.7
2016 Q4,Indie,Indie,436311.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,430541.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,428427.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,426053.0,589476.0,1.5,369850.0,4.7
