artist,song_name,quarterly_date,n_streams,genre,Genre_Group
50 Cent,In Da Club,2009 Q4,,Hip-Hop,Rap/Hip-Hop
Eminem,Without Me,2009 Q2,,Hip-Hop,Rap/Hip-Hop
Mary J. Blige,Family Affair,2009 Q1,,R&B,R&B
Akon,Smack That,2009 Q1,,R&B,R&B
USHER,Yeah! (feat. Lil Jon & Ludacris),2009 Q2,,R&B,R&B
Eminem,Lose Yourself,2009 Q4,,Hip-Hop,Rap/Hip-Hop
Black Eyed Peas,Where Is The Love?,2009 Q1,,Hip-Hop,Rap/Hip-Hop
JAY-Z,Empire State Of Mind,2009 Q3,,Hip-Hop,Rap/Hip-Hop
50 Cent,Candy Shop,2009 Q1,,Hip-Hop,Rap/Hip-Hop
Eminem,The Real Slim Shady,2009 Q2,,Hip-Hop,Rap/Hip-Hop
Mark Ronson,Uptown Funk (feat. Bruno Mars),2010 Q1,,Funk,Funk
LMFAO,Party Rock Anthem,2010 Q1,,Pop,Pop
Ed Sheeran,Shape of You,2010 Q1,,Pop,Pop
The Chainsmokers,Closer,2010 Q3,,House,Dance/House
Maroon 5,Girls Like You,2010 Q2,,Pop,Pop
Rihanna,We Found Love,2010 Q4,,Pop,Pop
Lil Nas X,Old Town Road,2010 Q2,,Rap,Rap/Hip-Hop
Gotye,Somebody That I Used To Know,2010 Q1,,Indie,Indie
Luis Fonsi,Despacito,2010 Q1,,Latin,Latin
Adele,Rolling in the Deep,2010 Q1,,Soul,Soul
One Direction,What Makes You Beautiful,2011 Q2,,Pop,Pop
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2011 Q1,,Pop,Pop
Adele,Rolling in the Deep,2011 Q1,,Soul,Soul
Ed Sheeran,The A Team,2011 Q3,,Pop,Pop
Bruno Mars,Grenade,2011 Q2,,Pop,Pop
Miguel,Sure Thing,2011 Q4,,R&B,R&B
Katy Perry,Firework,2011 Q3,,Pop,Pop
LMFAO,Party Rock Anthem,2011 Q1,,Pop,Pop
Adele,Set Fire to the Rain,2011 Q1,,Soul,Soul
Jennifer Lopez,On The Floor,2011 Q2,,Pop,Pop
Swedish House Mafia,Save The World,2012 Q2,,Edm,Electronic
Sebastian Ingrosso,Reload - Vocal Version / Radio Edit,2012 Q1,,House,Dance/House
Swedish House Mafia,Don't You Worry Child - Radio Edit,2012 Q3,,Edm,Electronic
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,2012 Q1,,Edm,Electronic
Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit,2012 Q1,,Electronic,Electronic
Martin Garrix,Animals,2012 Q3,,House,Dance/House
Avicii,Levels - Radio Edit,2012 Q4,,Edm,Electronic
Calvin Harris,Under Control (feat. Hurts),2012 Q4,,Edm,Electronic
Avicii,Wake Me Up - Radio Edit,2012 Q1,,Edm,Electronic
Ivan Gough,In My Mind (feat. Georgi Kay) - Axwell Radio Edit,2012 Q2,,House,Dance/House
Swedish House Mafia,Save The World,2013 Q2,,Edm,Electronic
Sebastian Ingrosso,Reload - Vocal Version / Radio Edit,2013 Q1,,House,Dance/House
Swedish House Mafia,Don't You Worry Child - Radio Edit,2013 Q3,,Edm,Electronic
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,2013 Q1,,Edm,Electronic
Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit,2013 Q1,,Electronic,Electronic
Martin Garrix,Animals,2013 Q3,,House,Dance/House
Avicii,Levels - Radio Edit,2013 Q4,,Edm,Electronic
Calvin Harris,Under Control (feat. Hurts),2013 Q4,,Edm,Electronic
Avicii,Wake Me Up - Radio Edit,2013 Q1,,Edm,Electronic
